ra,nome,nome_anonimizado,origem_aba,ano_pede,fase,turma,ian,indice_registro,probabilidade_risco,predicao_limiar_otimo
RA-1,Aluno-1,,PEDE2022,2022,7,A,5.0,0,0.8111111111111111,1
RA-2,Aluno-2,,PEDE2022,2022,7,A,10.0,1,0.17333333333333334,0
RA-3,Aluno-3,,PEDE2022,2022,7,A,10.0,2,0.23333333333333334,0
RA-4,Aluno-4,,PEDE2022,2022,7,A,10.0,3,0.25555555555555554,0
RA-5,Aluno-5,,PEDE2022,2022,7,A,10.0,4,0.20444444444444446,0
RA-6,Aluno-6,,PEDE2022,2022,7,A,5.0,5,0.6866666666666666,1
RA-7,Aluno-7,,PEDE2022,2022,7,A,5.0,6,0.7955555555555556,1
RA-8,Aluno-8,,PEDE2022,2022,7,A,5.0,7,0.8866666666666667,1
RA-9,Aluno-9,,PEDE2022,2022,7,A,5.0,8,0.74,1
RA-10,Aluno-10,,PEDE2022,2022,7,A,5.0,9,0.8488888888888889,1
RA-11,Aluno-11,,PEDE2022,2022,7,A,5.0,10,0.9022222222222223,1
RA-12,Aluno-12,,PEDE2022,2022,7,A,10.0,11,0.33111111111111113,0
RA-13,Aluno-13,,PEDE2022,2022,7,A,5.0,12,0.7022222222222222,1
RA-14,Aluno-14,,PEDE2022,2022,7,D,5.0,13,0.7911111111111111,1
RA-15,Aluno-15,,PEDE2022,2022,7,D,5.0,14,0.8955555555555555,1
RA-16,Aluno-16,,PEDE2022,2022,7,D,5.0,15,0.8177777777777778,1
RA-17,Aluno-17,,PEDE2022,2022,7,D,5.0,16,0.8644444444444445,1
RA-18,Aluno-18,,PEDE2022,2022,7,D,5.0,17,0.8711111111111111,1
RA-19,Aluno-19,,PEDE2022,2022,7,D,5.0,18,0.9577777777777777,1
RA-20,Aluno-20,,PEDE2022,2022,7,D,5.0,19,0.9177777777777778,1
RA-21,Aluno-21,,PEDE2022,2022,7,D,5.0,20,0.8711111111111111,1
RA-22,Aluno-22,,PEDE2022,2022,6,A,5.0,21,0.8888888888888888,1
RA-23,Aluno-23,,PEDE2022,2022,6,A,5.0,22,0.8177777777777778,1
RA-24,Aluno-24,,PEDE2022,2022,6,A,5.0,23,0.9288888888888889,1
RA-25,Aluno-25,,PEDE2022,2022,6,A,5.0,24,0.8911111111111111,1
RA-26,Aluno-26,,PEDE2022,2022,6,A,5.0,25,0.9,1
RA-27,Aluno-27,,PEDE2022,2022,6,A,5.0,26,0.8466666666666667,1
RA-28,Aluno-28,,PEDE2022,2022,6,A,5.0,27,0.9111111111111111,1
RA-29,Aluno-29,,PEDE2022,2022,6,A,5.0,28,0.8977777777777778,1
RA-30,Aluno-30,,PEDE2022,2022,6,A,10.0,29,0.24,0
RA-31,Aluno-31,,PEDE2022,2022,6,A,5.0,30,0.8844444444444445,1
RA-32,Aluno-32,,PEDE2022,2022,6,A,10.0,31,0.20444444444444446,0
RA-33,Aluno-33,,PEDE2022,2022,6,A,5.0,32,0.8955555555555555,1
RA-34,Aluno-34,,PEDE2022,2022,6,A,5.0,33,0.8866666666666667,1
RA-35,Aluno-35,,PEDE2022,2022,6,A,5.0,34,0.8333333333333334,1
RA-36,Aluno-36,,PEDE2022,2022,6,A,5.0,35,0.88,1
RA-37,Aluno-37,,PEDE2022,2022,6,A,5.0,36,0.8711111111111111,1
RA-38,Aluno-38,,PEDE2022,2022,6,A,5.0,37,0.9111111111111111,1
RA-39,Aluno-39,,PEDE2022,2022,6,A,10.0,38,0.2866666666666667,0
RA-40,Aluno-40,,PEDE2022,2022,5,A,5.0,39,0.9444444444444444,1
RA-41,Aluno-41,,PEDE2022,2022,5,A,5.0,40,0.9177777777777778,1
RA-42,Aluno-42,,PEDE2022,2022,5,A,10.0,41,0.31333333333333335,0
RA-43,Aluno-43,,PEDE2022,2022,5,A,5.0,42,0.9844444444444445,1
RA-44,Aluno-44,,PEDE2022,2022,5,A,5.0,43,0.9577777777777777,1
