feature,importance
cat__fase_Alfa,3.2542011931513084
cat__fase_Fase 8,2.757845880511992
num__inde_atual,2.5016317036773232
cat__fase_7,1.9584878804102879
cat__fase_0,1.6374924534141841
cat__fase_Fase 7,1.3832104977178485
cat__ciclo_programa_Nao informado,1.2272337767005799
cat__fase_6,1.0961098203461301
cat__fase_Fase 6,1.0957922167744278
cat__fase_Fase 2,0.925045188692617
cat__fase_4,0.8071375176391669
cat__fase_Fase 4,0.7374226803035271
cat__fase_Fase 1,0.7009018639150075
cat__fase_1,0.6878480709237128
cat__fase_Fase 5,0.5901706632837808
cat__fase_Fase 3,0.5652608889631852
num__media_comportamental,0.5480731443489275
num__ips,0.49951873554543585
cat__fase_5,0.46667301828834507
num__ieg,0.46171240777364797
cat__ciclo_programa_Topazio,0.40933361804037416
num__iaa,0.40850568797551
cat__ciclo_programa_Quartzo,0.3765008726783289
cat__ciclo_programa_Agata,0.3297201513528276
num__idade,0.3294874830681112
num__ida,0.3069929844505443
num__cg,0.27283776866428777
num__fase_ideal_num,0.26917289386008914
cat__genero_Feminino,0.22983839628558966
cat__fase_3,0.21727365959131123
num__cf,0.21227916933550275
num__por,0.2022946656649403
cat__fase_2,0.1984275733922099
num__anos_no_programa,0.16174197480579455
num__ipv,0.14534791478461093
num__ct,0.09530237241690927
num__ing,0.09316429890459474
cat__ciclo_programa_Ametista,0.0734052329255553
num__n_av,0.06848567387028512
num__media_academica,0.057997030110338625
num__mat,0.051068495364503794
num__ano_ingresso,0.04771616910166364
cat__genero_Masculino,0.044754028730984934
