ra,nome_exibicao,ano_referencia,origem_aba,fase,turma,ciclo_programa,pedra_atual,genero,idade,ano_nasc,ano_ingresso,anos_no_programa,instituicao,fase_ideal_num,inde_22,inde_23,inde_24,inde_atual,inde_anterior,delta_inde,cg,cf,ct,n_av,iaa,ieg,ips,ipp,ida,ipv,ian,categoria_ian,risco_atual,mat,por,ing,media_academica,media_comportamental,defasagem
RA-1,Aluno-1,2022,PEDE2022,7,A,Quartzo,Quartzo,Feminino,19.0,2003.0,2016,6.0,Escola Pública,8.0,5.783,,,5.783,,,753.0,18.0,10.0,4.0,8.3,4.1,5.6,,4.0,7.278,5.0,Defasagem moderada,1.0,2.7,3.5,6.0,4.066666666666666,6.0,-1
RA-10,Aluno-10,2022,PEDE2022,7,A,Quartzo,Quartzo,Feminino,18.0,2004.0,2021,1.0,Escola Pública,8.0,5.784,,,5.784,,,752.0,17.0,9.0,4.0,8.3,5.2,5.0,,4.1,7.056,5.0,Defasagem moderada,1.0,3.3,2.6,6.4,4.1000000000000005,6.166666666666667,-1
RA-100,Aluno-100,2022,PEDE2022,4,A,Ametista,Ametista,Feminino,13.0,2009.0,2019,3.0,Rede Decisão,3.0,7.618,,,7.618,,,268.0,22.0,7.0,4.0,8.8,7.8,5.0,,7.6,7.25,10.0,Adequado,0.0,7.0,7.8,8.1,7.633333333333333,7.2,1
RA-101,Aluno-101,2022,PEDE2022,4,A,Ametista,Ametista,Feminino,15.0,2007.0,2021,1.0,Escola Pública,5.0,7.305,,,7.305,,,387.0,31.0,8.0,4.0,7.9,8.3,7.5,,7.6,6.833,5.0,Defasagem moderada,1.0,7.2,6.5,9.2,7.633333333333333,7.900000000000001,-1
RA-102,Aluno-102,2022,PEDE2022,4,A,Agata,Agata,Masculino,14.0,2008.0,2019,3.0,Escola Pública,4.0,6.922,,,6.922,,,519.0,43.0,9.0,4.0,6.7,7.7,6.9,,5.7,6.0,10.0,Adequado,0.0,4.7,6.8,5.5,5.666666666666667,7.1000000000000005,0
RA-103,Aluno-103,2022,PEDE2022,4,A,Topazio,Topazio,Feminino,13.0,2009.0,2020,2.0,Rede Decisão,3.0,8.107,,,8.107,,,114.0,11.0,4.0,4.0,7.9,8.7,7.5,,7.3,7.708,10.0,Adequado,0.0,7.3,7.3,7.3,7.3,8.033333333333333,1
RA-104,Aluno-104,2022,PEDE2022,4,A,Agata,Agata,Masculino,18.0,2004.0,2022,0.0,Escola Pública,8.0,6.315,,,6.315,,,681.0,61.0,11.0,4.0,7.9,8.7,7.5,,3.7,6.708,2.5,Defasagem severa,1.0,4.8,5.8,0.3,3.6333333333333333,8.033333333333333,-4
RA-105,Aluno-105,2022,PEDE2022,4,A,Agata,Agata,Masculino,17.0,2005.0,2016,6.0,Rede Decisão,7.0,6.846,,,6.846,,,542.0,47.0,10.0,4.0,7.9,8.2,5.6,,6.7,7.417,2.5,Defasagem severa,1.0,7.2,6.2,6.8,6.733333333333333,7.233333333333334,-3
RA-106,Aluno-106,2022,PEDE2022,4,A,Ametista,Ametista,Feminino,15.0,2007.0,2016,6.0,Rede Decisão,5.0,7.973,,,7.973,,,148.0,13.0,5.0,4.0,9.2,8.0,9.4,,7.4,8.375,5.0,Defasagem moderada,1.0,7.8,7.2,7.2,7.3999999999999995,8.866666666666667,-1
RA-107,Aluno-107,2022,PEDE2022,4,A,Agata,Agata,Feminino,15.0,2007.0,2018,4.0,Escola Pública,5.0,6.258,,,6.258,,,693.0,63.0,12.0,4.0,7.5,6.4,7.5,,4.6,6.5,5.0,Defasagem moderada,1.0,3.3,4.3,6.0,4.533333333333333,7.133333333333333,-1
